duration,protocol_type,service,flag,src_bytes,dst_bytes,wrong_fragment,hot,logged_in,num_compromised,su_attempted,num_root,num_access_files,count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_srv_rerror_rate,classe,posicaoOriginal
0.0,0.0,14.0,9.0,1032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,120.0,0.47,0.07,0.47,0.0,0.0,0.0,0.0,1.0,42797.0
0.0,1.0,19.0,9.0,4753.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,85.0,31.0,0.36,0.07,0.36,0.0,0.0,0.0,0.0,0.0,123801.0
0.0,1.0,22.0,9.0,341.0,1099.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,183.0,255.0,1.0,0.0,0.01,0.04,0.0,0.0,0.0,0.0,114609.0
0.0,0.0,13.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,27.0,1.0,0.0,1.0,0.52,0.0,0.0,0.0,1.0,88689.0
0.0,1.0,22.0,9.0,361.0,758.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103995.0
0.0,0.0,14.0,9.0,1032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,24.0,0.09,0.25,0.09,0.0,0.0,0.0,0.0,1.0,55357.0
0.0,2.0,11.0,9.0,45.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,255.0,1.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,125120.0
0.0,1.0,22.0,9.0,314.0,33988.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,239.0,255.0,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,3836.0
0.0,2.0,45.0,9.0,105.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,114.0,104.0,0.91,0.03,0.01,0.0,0.0,0.0,0.0,0.0,124625.0
0.0,1.0,22.0,9.0,302.0,1869.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50.0,255.0,1.0,0.0,0.02,0.05,0.0,0.0,0.0,0.0,13064.0
0.0,1.0,22.0,9.0,213.0,2019.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,83.0,255.0,1.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,73971.0
0.0,1.0,50.0,9.0,794.0,387.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,255.0,37.0,0.15,0.06,0.0,0.0,0.69,0.0,0.0,0.0,76217.0
2.0,1.0,50.0,9.0,1092.0,328.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,38.0,21.0,0.55,0.13,0.03,0.0,0.0,0.0,0.0,0.0,124624.0
0.0,1.0,22.0,9.0,288.0,555.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.27,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52392.0
0.0,1.0,19.0,9.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,201.0,5.0,0.02,0.04,0.02,0.0,0.0,0.0,0.0,0.0,182.0
0.0,0.0,14.0,9.0,1032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,144.0,50.0,0.35,0.05,0.35,0.0,0.01,0.0,0.0,1.0,59020.0
2.0,1.0,50.0,9.0,5257.0,330.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.67,0.67,0.67,214.0,131.0,0.52,0.02,0.0,0.02,0.0,0.0,0.0,0.0,35493.0
0.0,1.0,22.0,9.0,200.0,4324.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.15,181.0,255.0,1.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,72933.0
0.0,1.0,19.0,9.0,61298.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.8,0.3,0.0,255.0,61.0,0.24,0.03,0.24,0.0,0.0,0.0,0.0,0.0,114163.0
0.0,1.0,22.0,9.0,0.0,1167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.17,0.17,0.0,0.0,1.0,0.0,0.0,12.0,55.0,1.0,0.0,0.08,0.05,0.08,0.02,0.0,0.0,10533.0
0.0,1.0,22.0,9.0,291.0,762.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3429.0
0.0,1.0,22.0,9.0,296.0,2861.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.67,12.0,255.0,1.0,0.0,0.08,0.04,0.0,0.0,0.0,0.0,36105.0
0.0,1.0,22.0,9.0,213.0,24572.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.14,1.0,0.0,0.57,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4588.0
0.0,0.0,14.0,9.0,1032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,38.0,0.15,0.21,0.15,0.0,0.0,0.0,0.0,1.0,19403.0
0.0,1.0,22.0,9.0,224.0,4073.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.09,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17069.0
0.0,1.0,19.0,9.0,246.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,10.0,1.0,0.0,1.0,0.2,0.0,0.0,0.0,1.0,39395.0
0.0,2.0,11.0,9.0,45.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,1.0,0.0,0.01,255.0,239.0,0.94,0.01,0.0,0.0,0.0,0.0,0.0,0.0,37291.0
0.0,1.0,22.0,9.0,229.0,1179.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122460.0
0.0,1.0,22.0,9.0,224.0,19950.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,116.0,255.0,1.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,36629.0
0.0,2.0,11.0,9.0,45.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,255.0,242.0,0.95,0.02,0.0,0.0,0.0,0.0,0.0,0.0,118833.0
0.0,2.0,11.0,9.0,46.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,0.0,0.0,0.0,0.0,0.99,0.01,0.02,255.0,246.0,0.96,0.01,0.0,0.0,0.0,0.0,0.0,0.0,45617.0
0.0,0.0,14.0,9.0,1032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,197.0,0.77,0.02,0.77,0.0,0.0,0.0,0.0,1.0,95432.0
0.0,1.0,19.0,9.0,15377.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.33,255.0,92.0,0.36,0.02,0.36,0.0,0.0,0.0,0.0,0.0,75067.0
0.0,1.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,7.0,2.0,0.14,1.0,0.14,1.0,0.0,0.0,1.0,1.0,65727.0
0.0,1.0,22.0,9.0,275.0,3253.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,118.0,255.0,1.0,0.0,0.01,0.04,0.0,0.0,0.0,0.0,70454.0
0.0,1.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,1.0,1.0,0.05,0.15,0.0,255.0,21.0,0.08,0.06,0.0,0.0,0.0,0.0,1.0,1.0,120390.0
0.0,1.0,22.0,9.0,274.0,1233.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.11,255.0,255.0,1.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,79606.0
0.0,1.0,22.0,9.0,316.0,14067.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82385.0
9597.0,2.0,40.0,9.0,147.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.33,0.5,0.0,255.0,2.0,0.01,0.41,0.91,0.0,0.0,0.0,0.0,0.0,46055.0
0.0,2.0,11.0,9.0,42.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,225.0,0.88,0.01,0.01,0.0,0.0,0.0,0.0,0.0,111644.0
0.0,1.0,22.0,9.0,220.0,10091.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61631.0
0.0,0.0,13.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,44.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,1.0,15546.0
4.0,1.0,22.0,9.0,251.0,1911.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,246.0,0.96,0.01,0.0,0.0,0.0,0.0,0.0,0.0,103361.0
0.0,1.0,19.0,9.0,0.0,1878.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.14,0.0,0.0,1.0,0.0,0.29,203.0,60.0,0.2,0.03,0.0,0.03,0.01,0.0,0.0,0.0,106300.0
0.0,1.0,22.0,9.0,222.0,1600.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,224.0,255.0,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,90904.0
0.0,1.0,22.0,9.0,290.0,1471.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.33,5.0,255.0,1.0,0.0,0.2,0.03,0.0,0.0,0.0,0.0,57032.0
0.0,1.0,22.0,9.0,319.0,943.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,83.0,255.0,1.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,112164.0
0.0,1.0,19.0,9.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,80.0,75.0,0.04,0.89,0.03,0.03,0.0,0.0,0.01,0.0,93395.0
0.0,2.0,11.0,9.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,89.0,192.0,1.0,0.0,1.0,0.01,0.0,0.0,0.0,0.0,51934.0
0.0,1.0,22.0,9.0,320.0,4624.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,255.0,1.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,5295.0
0.0,1.0,22.0,9.0,279.0,1928.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.09,255.0,255.0,1.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,13566.0
0.0,1.0,22.0,9.0,316.0,421.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.09,255.0,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42667.0
0.0,1.0,22.0,9.0,203.0,353.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,4.0,255.0,1.0,0.0,0.25,0.03,0.0,0.0,0.0,0.0,35039.0
0.0,2.0,11.0,9.0,45.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255.0,235.0,0.92,0.01,0.0,0.0,0.0,0.0,0.0,0.0,59978.0
0.0,1.0,22.0,9.0,328.0,301.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25.0,255.0,1.0,0.0,0.04,0.05,0.0,0.0,0.0,0.0,82913.0
0.0,1.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,12.0,214.0,1.0,0.0,0.08,0.21,0.0,0.0,1.0,0.0,79830.0
0.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.0,1.0,1.0,0.0,0.0,0.04,0.06,0.0,255.0,11.0,0.04,0.07,0.0,0.0,1.0,1.0,0.0,1.0,10919.0
